"Indicator","Market","Destination","Units","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04"
"Airseat","US East, Scheduled","Kona","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,553","1,672","1,254","3,553","418","0","6,061","6,479","4,389","0","0","0","3,553","1,463","2,508","5,643","418","0","6,552","8,463","5,460","0","0","0","3,549","1,911","0","7,371","273","0","6,825","8,463","5,187","0","0","0","3,822","6,279","5,733","5,187","0","0","0","0","0","0","0","0","3,549","7,917","6,825","8,463","1,365","0","12,231","14,052","13,809","9,405","8,463","7,917","12,351","2,520","972","4,131","1,750","828","1,272","1,215","1,272","1,272","1,590","1,272","1,590","1,272","1,272","954","1,290","972","972","1,215","486","0","0","972","1,215","972","972","1,215","486","0","0","0","0","0","0","0","486","972","972","1,215","0","0","0","0","0","0","0","2,340","5,850","8,076","7,537","7,098","486"
"Airseat","US East, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","US East, Scheduled","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,553","1,463","1,672","3,971","209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Japan, Scheduled","All airports in Hawaii","number","132,742","117,100","129,436","130,969","134,776","133,847","139,620","143,195","135,140","134,727","129,273","136,501","136,214","126,515","143,354","130,063","135,956","140,919","145,475","146,451","135,933","127,546","118,464","140,623","144,029","129,520","138,711","120,018","122,793","122,754","138,679","148,644","145,223","135,752","130,867","140,105","150,287","138,432","150,499","139,794","148,718","151,851","164,523","173,574","160,860","158,101","150,837","157,944","168,300","145,568","169,123","158,287","159,608","163,147","174,917","195,168","177,483","179,258","170,479","178,611","177,800","160,145","178,875","168,547","172,169","166,989","166,137","172,792","164,678","165,205","156,711","165,857","165,278","149,604","164,995","155,561","162,927","159,487","167,445","184,182","167,234","160,608","153,893","158,206","153,911","144,630","151,194","144,952","155,722","151,987","153,116","162,824","154,877","158,320","148,531","155,654","166,591","153,909","164,982","156,591","165,904","163,868","181,102","188,216","165,282","169,133","151,701","160,757","164,380","148,796","165,934","157,717","170,160","167,409","179,259","191,192","181,539","173,996","167,919","174,294","174,100","158,160","173,638","158,756","161,248","155,388","165,392","179,764","171,968","166,311","161,036","173,443","176,196","161,838","127,294","744","0","0","0","558","372","2,254","2,532","11,786","15,595","7,438","7,684","8,798","7,870","7,686","18,570","11,214","11,650","11,723","12,945","19,537","16,033","17,979","17,231","20,263","20,509","23,534","86,390","70,141","59,088","58,472","64,999","79,013","76,511","64,554","76,473","75,108","82,762","79,054","86,390","106,065","94,313","99,863","105,268","118,374","120,574","109,818","123,751","111,198","116,547","112,742","117,641","120,213","115,244","116,209","108,329","111,999","105,135","89,992","104,350","106,885","107,701","102,696","118,837","116,691","111,404","114,757","107,232","111,961","109,369","93,319","105,335","105,648"
"Airseat","Japan, Scheduled","Honolulu","number","122,622","111,220","122,926","124,669","128,266","127,547","133,110","136,685","128,840","128,217","122,973","130,831","129,494","120,635","136,844","123,763","129,446","134,619","138,965","139,941","129,633","121,456","118,464","140,623","144,029","129,520","138,711","120,018","122,793","122,754","138,679","148,644","145,223","135,752","130,867","140,105","150,287","138,432","150,499","139,794","148,718","151,851","164,523","173,574","160,860","158,101","150,837","157,944","168,300","145,568","169,123","158,287","159,608","163,147","174,917","195,168","177,483","179,258","170,479","178,611","177,800","160,145","178,875","168,547","172,169","166,989","166,137","172,792","164,678","165,205","156,711","165,857","165,278","149,604","164,995","155,561","162,927","159,487","167,445","184,182","167,234","160,608","153,893","158,206","153,911","144,630","151,194","144,952","155,722","151,987","153,116","162,824","154,877","158,320","148,531","154,184","162,769","150,381","160,866","152,769","162,242","160,254","177,488","184,602","158,484","159,350","142,117","150,696","154,597","139,888","156,151","148,133","160,377","157,825","169,476","181,131","171,955","164,213","158,335","164,511","164,317","149,252","163,577","149,450","151,187","145,804","155,609","169,981","162,384","156,528","151,452","163,660","166,135","152,731","127,294","744","0","0","0","558","372","2,254","2,532","11,786","15,595","7,438","7,684","8,798","7,870","7,686","18,570","11,214","11,650","11,723","12,945","19,537","16,033","17,979","17,231","20,263","20,509","23,534","84,997","67,554","56,501","58,472","64,999","78,018","75,715","64,554","75,080","74,710","82,762","79,054","84,997","103,478","94,313","99,585","104,156","116,188","118,865","108,706","120,137","111,198","116,547","112,742","116,646","118,024","115,244","116,209","108,329","111,999","105,135","89,992","104,350","106,885","107,701","102,696","118,837","116,691","111,404","114,757","107,232","111,961","109,369","93,319","105,335","105,648"
"Airseat","Japan, Scheduled","Kahului","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Japan, Scheduled","Kona","number","10,120","5,880","6,510","6,300","6,510","6,300","6,510","6,510","6,300","6,510","6,300","5,670","6,720","5,880","6,510","6,300","6,510","6,300","6,510","6,510","6,300","6,090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,470","3,822","3,528","4,116","3,822","3,662","3,614","3,614","3,614","6,798","9,783","9,584","10,061","9,783","8,908","9,783","9,584","9,783","9,584","9,783","10,061","9,584","9,783","9,584","9,783","9,783","8,908","10,061","9,306","10,061","9,584","9,783","9,783","9,584","9,783","9,584","9,783","10,061","9,107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,393","2,587","2,587","0","0","995","796","0","1,393","398","0","0","1,393","2,587","0","278","1,112","2,186","1,709","1,112","3,614","0","0","0","995","2,189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Japan, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Japan, Scheduled","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Canada, Scheduled","All airports in Hawaii","number","29,271","26,180","28,123","26,410","10,663","9,411","9,788","9,999","9,200","14,149","22,658","32,986","40,254","36,016","41,117","37,002","15,417","9,200","9,999","9,788","9,411","15,688","26,944","35,656","38,138","37,537","43,398","42,607","14,240","14,391","15,145","14,723","14,602","15,688","24,812","43,770","51,801","48,656","52,306","43,107","16,881","14,602","14,934","14,934","14,602","16,020","28,873","47,650","52,101","46,920","52,623","43,423","17,729","14,642","12,363","15,181","14,451","16,553","30,320","50,967","56,342","50,728","56,790","50,736","17,095","14,451","14,990","15,181","14,260","17,360","31,962","60,065","64,365","57,680","64,824","57,065","22,532","18,280","19,468","19,736","18,226","21,254","37,363","58,843","64,884","62,987","71,061","55,951","19,158","18,258","19,158","19,158","16,800","18,973","37,514","58,943","63,110","57,468","63,956","57,635","19,158","18,540","19,158","19,158","17,196","19,776","45,534","62,200","64,952","59,168","65,778","58,268","19,158","18,732","19,530","19,530","17,922","23,821","52,748","69,250","72,049","65,625","73,668","58,428","20,026","16,890","17,370","17,391","15,438","21,383","46,266","60,079","65,590","61,664","37,627","0","0","0","0","0","0","0","0","13,032","6,978","2,330","924","716","132","0","348","6,154","1,014","13,399","41,021","50,688","60,041","53,996","77,439","62,649","22,169","17,448","21,266","21,266","18,144","26,197","43,118","63,482","66,556","60,446","68,685","43,900","18,562","20,232","21,266","19,362","15,798","19,601","51,273","60,515","57,349","56,671","63,166","40,766","16,549","14,814","14,983","15,157","14,640","19,268","49,099","53,619","52,101","48,840","56,779","42,985","16,201","14,118","14,466","14,993","14,640","18,930","40,328","49,000","51,095","47,668","51,260","39,756"
"Airseat","Canada, Scheduled","Honolulu","number","14,195","12,900","13,394","12,722","7,118","6,409","6,786","6,786","6,198","8,446","14,842","16,651","17,918","16,108","18,115","16,894","8,914","6,198","6,620","6,786","6,409","9,321","15,296","16,274","16,236","15,090","17,100","16,613","8,597","8,567","8,944","8,733","8,778","9,110","13,271","17,672","19,338","18,041","19,587","18,440","8,899","7,737","8,280","8,280","7,737","8,657","13,334","18,540","18,707","16,716","18,564","17,360","9,577","7,597","6,901","7,962","7,771","8,755","13,646","17,174","18,006","16,160","18,044","16,512","8,658","7,771","8,136","7,962","7,580","8,966","14,481","21,450","22,707","20,896","23,509","19,947","12,008","10,404","10,858","10,958","10,266","10,584","15,976","20,566","21,635","22,232","25,668","18,942","11,412","10,962","11,412","11,694","9,894","10,626","15,336","20,992","21,818","19,964","22,926","20,468","11,694","10,962","11,412","11,412","10,572","11,244","17,130","22,282","22,644","20,528","22,644","19,010","11,412","11,340","11,598","11,598","10,164","12,576","18,900","23,126","23,741","21,551","25,237","21,739","10,758","8,827","9,216","9,015","8,358","9,441","15,438","21,639","23,627","20,815","12,357","0","0","0","0","0","0","0","0","5,156","1,892","528","396","0","0","0","0","2,391","507","6,368","12,237","18,278","23,116","19,554","28,503","24,499","11,536","8,724","10,633","10,633","9,072","12,492","13,879","24,276","25,710","23,708","27,900","18,005","10,633","10,290","10,633","10,633","10,812","11,836","21,366","28,012","26,614","27,152","30,625","21,248","11,329","11,334","11,155","11,329","10,986","12,696","22,528","26,695","26,748","24,680","28,463","21,972","11,503","10,290","10,986","10,991","10,986","12,691","19,654","23,047","23,770","22,154","24,560","19,805"
"Airseat","Canada, Scheduled","Kahului","number","12,797","11,348","12,661","11,620","3,545","3,002","3,002","3,213","3,002","5,703","7,816","14,042","18,293","16,408","19,336","16,442","6,337","3,002","3,379","3,002","3,002","6,367","11,648","15,761","18,183","19,235","22,790","22,423","5,495","5,824","6,201","5,990","5,824","6,578","11,375","20,938","27,137","25,621","27,348","20,261","6,654","5,205","5,326","5,160","5,371","6,035","12,385","23,120","27,404","24,712","27,858","20,943","6,586","5,479","4,418","5,479","5,288","6,406","13,194","24,423","26,704","23,980","26,903","24,332","6,697","5,288","5,462","5,479","5,288","6,828","14,001","27,194","29,815","26,196","29,683","25,914","8,436","6,484","7,044","7,212","6,616","8,990","17,859","27,301","31,423","29,883","32,439","26,083","7,746","7,296","7,746","7,464","6,906","8,011","18,146","26,857","29,748","26,968","29,486","26,295","7,464","7,578","7,746","7,746","6,624","7,860","19,668","28,092","29,636","26,976","29,898","27,594","7,746","7,392","7,932","7,932","7,758","9,853","23,408","32,294","32,788","29,767","33,587","27,293","9,268","8,063","8,154","8,376","7,080","10,550","21,780","26,938","28,637","28,219","17,266","0","0","0","0","0","0","0","0","7,876","4,390","1,628","528","716","132","0","348","3,763","507","6,683","20,954","22,522","26,361","25,260","35,633","27,770","10,633","8,724","10,633","10,633","9,072","13,009","20,365","27,419","28,234","25,682","29,565","20,849","7,929","9,942","10,633","8,729","4,986","6,731","19,030","21,109","21,081","20,377","22,191","18,474","5,220","3,480","3,828","3,828","3,654","5,543","16,728","16,375","16,549","15,172","17,593","14,988","4,698","3,828","3,480","4,002","3,654","5,543","16,150","16,970","17,751","16,750","17,021","14,095"
"Airseat","Canada, Scheduled","Kona","number","2,279","1,932","2,068","2,068","0","0","0","0","0","0","0","1,463","2,549","2,172","2,172","2,338","0","0","0","0","0","0","0","2,127","2,387","2,028","2,176","2,239","148","0","0","0","0","0","0","3,002","3,168","2,836","3,213","2,414","664","830","664","830","664","664","1,826","3,666","3,832","3,500","4,043","3,032","870","696","522","870","696","696","1,914","5,368","6,238","5,716","6,449","5,368","870","696","696","870","696","870","1,914","6,027","6,449","5,716","6,238","5,984","1,044","696","870","696","672","840","2,016","5,768","6,618","6,000","7,746","5,886","0","0","0","0","0","168","2,184","5,886","6,336","5,832","6,336","6,000","0","0","0","0","0","336","4,536","6,618","7,464","6,960","8,028","6,960","0","0","0","0","0","696","5,220","7,253","7,760","7,407","7,760","4,698","0","0","0","0","0","870","5,220","6,804","7,932","7,584","4,002","0","0","0","0","0","0","0","0","0","696","174","0","0","0","0","0","0","0","174","4,350","6,234","6,388","5,528","8,083","6,378","0","0","0","0","0","348","5,220","7,263","8,610","7,576","7,914","3,654","0","0","0","0","0","686","8,093","8,088","7,566","7,054","7,740","522","0","0","0","0","0","855","7,581","7,591","6,194","6,378","7,591","4,807","0","0","0","0","0","696","4,524","6,721","7,138","6,328","6,547","4,638"
"Airseat","Canada, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Canada, Scheduled","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","830","1,494","1,328","1,494","1,328","166","0","0","0","0","0","0","1,494","1,332","1,184","1,332","1,332","0","0","0","0","0","0","166","2,158","2,158","2,158","2,158","1,992","664","830","664","664","830","664","1,328","2,324","2,158","1,992","2,158","2,088","696","870","522","870","696","696","1,566","4,002","5,394","4,872","5,394","4,524","870","696","696","870","696","696","1,566","5,394","5,394","4,872","5,394","5,220","1,044","696","696","870","672","840","1,512","5,208","5,208","4,872","5,208","5,040","0","0","0","0","0","168","1,848","5,208","5,208","4,704","5,208","4,872","0","0","0","0","0","336","4,200","5,208","5,208","4,704","5,208","4,704","0","0","0","0","0","696","5,220","6,577","7,760","6,900","7,084","4,698","0","0","0","0","0","522","3,828","4,698","5,394","5,046","4,002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174","3,480","3,654","4,176","3,654","5,220","4,002","0","0","0","0","0","348","3,654","4,524","4,002","3,480","3,306","1,392","0","0","0","0","0","348","2,784","3,306","2,088","2,088","2,610","522","0","0","0","0","0","174","2,262","2,958","2,610","2,610","3,132","1,218","0","0","0","0","0","0","0","2,262","2,436","2,436","3,132","1,218"
"Airseat","Other Asia, Scheduled","All airports in Hawaii","number","11,815","10,636","14,040","13,324","14,337","14,626","14,721","14,721","13,398","14,721","14,337","14,289","14,289","12,872","13,759","8,880","9,176","11,248","13,320","13,024","12,793","13,177","15,433","16,118","18,589","18,622","23,104","21,748","22,888","22,044","22,888","24,827","26,091","26,225","29,411","30,359","33,219","28,192","30,611","29,590","30,676","29,244","36,438","39,558","37,781","36,760","36,819","39,262","40,856","40,172","39,423","35,199","35,164","35,271","39,343","41,850","40,694","42,625","36,788","43,925","46,367","43,368","41,277","41,982","43,746","42,605","46,081","49,480","42,224","43,057","37,080","40,165","38,010","37,394","38,158","37,091","39,076","36,434","42,895","48,609","40,166","43,710","37,517","38,802","46,569","48,875","45,823","47,083","50,442","46,113","50,200","48,129","48,254","51,557","45,972","48,697","50,603","44,226","39,954","41,250","41,025","47,499","50,126","48,578","48,062","51,733","55,193","60,860","59,239","58,617","41,689","40,932","41,285","40,651","45,976","52,009","45,808","42,583","34,300","38,468","47,299","43,897","38,201","35,808","39,906","37,900","40,976","47,048","37,050","38,071","36,231","40,330","41,139","31,758","13,580","218","0","0","0","0","0","0","278","834","1,390","1,112","1,112","2,224","2,502","2,224","2,780","3,614","3,614","3,892","5,952","8,744","11,071","7,283","7,282","13,066","17,629","17,440","22,051","22,968","22,858","24,724","23,208","25,060","26,879","24,312","24,163","23,506","23,313","20,826","22,051","21,179","21,937","22,276","23,191","25,037","29,112","25,973","23,265","20,864","23,454","22,235","23,690","23,628","21,473","21,511","20,962","22,815","22,814","20,685","22,871","21,900","22,807","24,895","30,490","31,364","27,184","29,581","25,833","40,150","25,726","22,683","22,713","20,996"
"Airseat","Other Asia, Scheduled","Honolulu","number","11,815","10,636","14,040","13,324","14,337","14,626","14,721","14,721","13,398","14,721","14,337","14,289","14,289","12,872","13,759","8,880","9,176","11,248","13,320","13,024","12,793","13,177","15,433","16,118","18,589","18,622","23,104","21,748","22,888","22,044","22,888","24,827","26,091","26,225","29,411","30,359","33,219","28,192","30,611","29,590","30,676","29,244","36,438","39,558","37,781","36,760","36,819","39,262","40,856","40,172","39,423","35,199","35,164","35,271","39,343","41,850","40,694","42,625","36,788","43,925","46,367","43,368","41,277","41,982","43,746","42,605","46,081","49,480","42,224","43,057","37,080","40,165","38,010","37,394","38,158","37,091","39,076","36,434","42,895","48,609","40,166","43,710","37,517","38,802","46,569","48,875","45,823","47,083","50,442","46,113","50,200","48,129","48,254","51,557","45,972","48,697","50,603","44,226","39,954","41,250","41,025","47,499","50,126","48,578","48,062","51,733","55,193","60,860","59,239","58,617","41,689","40,932","41,285","40,651","45,976","52,009","45,808","42,583","34,300","38,468","47,299","43,897","38,201","35,808","39,906","37,900","40,976","47,048","37,050","38,071","36,231","40,330","41,139","31,758","13,580","218","0","0","0","0","0","0","278","834","1,390","1,112","1,112","2,224","2,502","2,224","2,780","3,614","3,614","3,892","5,952","8,744","11,071","7,283","7,282","13,066","17,629","17,440","22,051","22,968","22,858","24,724","23,208","25,060","26,879","24,312","24,163","23,506","23,313","20,826","22,051","21,179","21,937","22,276","23,191","25,037","29,112","25,973","23,265","20,864","23,454","22,235","23,690","23,628","21,473","21,511","20,962","22,815","22,814","20,685","22,871","21,900","22,807","24,895","30,490","31,364","27,184","29,581","25,833","40,150","25,726","22,683","22,713","20,996"
"Airseat","Other Asia, Scheduled","Kahului","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Other Asia, Scheduled","Kona","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Other Asia, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","Other Asia, Scheduled","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
