"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Hawaii ISL visitors","Recreation","Daily spending ($)","dollar","","","","","","","","","","","","","","","7.37","9.45"
"Visitors from US West","Recreation","% of total spending","percent","","","","","","4.1","3.8","3.8","3.7","3.7","3.5","","3.7","3.6","3.3","3.7"
"Hawaii ISL visitors","Recreation","% of total spending","percent","","","","","","","","","","","","","","","3.4","3.9"
"Visitors from US West","Other activities & tours","Daily spending ($)","dollar","","","","","","4.55","4.48","4.79","5.54","5.48","4.93","","5.13","6.42","6.87","7.19"
"Hawaii ISL visitors","Other activities & tours","Daily spending ($)","dollar","","","","","","","","","","","","","","","7.45","8.72"
"Visitors from US West","Other activities & tours","% of total spending","percent","","","","","","2.8","2.8","2.9","3.2","3.1","2.8","","2.6","2.9","3.0","3.1"
"Hawaii ISL visitors","Other activities & tours","% of total spending","percent","","","","","","","","","","","","","","","3.4","3.6"
"Visitors from US West","Total Transportation","Daily spending ($)","dollar","15.44","16.33","16.37","17.21","17.02","16.88","16.29","18.15","19.20","19.46","18.59","","23.39","24.99","22.23","21.86"
"Hawaii ISL visitors","Total Transportation","Daily spending ($)","dollar","","21.03","21.21","24.06","24.30","25.03","23.84","30.53","29.79","28.31","26.20","","24.34","29.77","29.74","33.14"
"Visitors from US West","Total Transportation","% of total spending","percent","11.6","11.7","11.4","11.3","10.9","10.5","10.1","10.8","11.0","11.1","10.6","","12.0","11.3","9.9","9.5"
"Hawaii ISL visitors","Total Transportation","% of total spending","percent","","14.6","14.1","15.1","14.2","14.5","14.9","17.0","16.2","15.4","14.7","","14.5","15.0","13.8","13.8"
"Visitors from US West","Interisland airfare","Daily spending ($)","dollar","1.51","2.03","1.84","1.61","1.60","1.80","1.78","2.48","2.50","2.13","1.72","","0.74","1.13","1.16","1.70"
"Hawaii ISL visitors","Interisland airfare","Daily spending ($)","dollar","","4.53","3.25","4.29","5.37","6.55","7.06","9.87","7.81","6.87","4.82","","1.72","2.90","3.65","5.85"
"Visitors from US West","Interisland airfare","% of total spending","percent","1.1","1.5","1.3","1.1","1.0","1.1","1.1","1.5","1.4","1.2","1.0","","0.4","0.5","0.5","0.7"
"Hawaii ISL visitors","Interisland airfare","% of total spending","percent","","3.2","2.2","2.7","3.1","3.8","4.4","5.5","4.2","3.7","2.7","","1.0","1.5","1.7","2.4"
"Visitors from US West","Ground transportation","Daily spending ($)","dollar","0.71","0.72","0.72","0.80","0.74","0.71","0.67","0.73","0.79","0.88","0.87","","1.27","1.30","1.35","1.35"
"Hawaii ISL visitors","Ground transportation","Daily spending ($)","dollar","","0.62","0.54","0.66","0.59","0.64","0.48","0.68","0.74","0.70","0.63","","0.76","0.90","1.01","1.17"
"Visitors from US West","Ground transportation","% of total spending","percent","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.5","0.5","0.5","","0.7","0.6","0.6","0.6"
"Hawaii ISL visitors","Ground transportation","% of total spending","percent","","0.4","0.4","0.4","0.3","0.4","0.3","0.4","0.4","0.4","0.4","","0.5","0.5","0.5","0.5"
"Visitors from US West","Rental vehicles","Daily spending ($)","dollar","11.81","12.10","12.24","13.20","13.15","12.92","12.69","13.86","14.71","15.24","14.80","","20.08","21.04","18.30","17.39"
"Hawaii ISL visitors","Rental vehicles","Daily spending ($)","dollar","","13.86","15.15","16.72","16.02","15.85","14.55","17.99","19.10","18.54","18.26","","20.36","23.90","22.97","23.62"
"Visitors from US West","Rental vehicles","% of total spending","percent","8.9","8.7","8.5","8.7","8.4","8.1","7.8","8.3","8.4","8.7","8.5","","10.3","9.5","8.1","7.6"
"Hawaii ISL visitors","Rental vehicles","% of total spending","percent","","9.6","10.1","10.5","9.4","9.2","9.1","10.0","10.4","10.1","10.2","","12.1","12.1","10.6","9.9"
"Visitors from US West","Gasoline, parking, etc.","Daily spending ($)","dollar","1.42","1.47","1.57","1.60","1.53","1.44","1.16","1.08","1.19","1.21","1.20","","1.31","1.52","1.42","1.42"
"Hawaii ISL visitors","Gasoline, parking, etc.","Daily spending ($)","dollar","","2.02","2.26","2.38","2.32","1.98","1.74","1.99","2.15","2.20","2.49","","1.50","2.07","2.12","2.50"
"Visitors from US West","Gasoline, parking, etc.","% of total spending","percent","1.1","1.0","1.1","1.1","1.0","0.9","0.7","0.6","0.7","0.7","0.7","","0.7","0.7","0.6","0.6"
"Hawaii ISL visitors","Gasoline, parking, etc.","% of total spending","percent","","1.4","1.5","1.5","1.4","1.1","1.1","1.1","1.2","1.2","1.4","","0.9","1.0","1.0","1.0"
"Visitors from US West","Total Shopping","Daily spending ($)","dollar","16.32","16.08","16.16","16.40","15.63","16.16","16.33","16.24","17.00","16.64","16.74","","20.94","21.86","21.69","21.62"
"Hawaii ISL visitors","Total Shopping","Daily spending ($)","dollar","","15.32","16.36","16.93","16.15","15.39","13.86","15.24","16.92","15.87","14.87","","12.63","15.11","16.97","18.96"
"Visitors from US West","Total Shopping","% of total spending","percent","12.2","11.5","11.2","10.8","10.0","10.1","10.1","9.7","9.8","9.5","9.6","","10.7","9.9","9.6","9.4"
"Hawaii ISL visitors","Total Shopping","% of total spending","percent","","10.6","10.9","10.7","9.4","8.9","8.6","8.5","9.2","8.6","8.3","","7.5","7.6","7.9","7.9"
"Visitors from US West","Fashion and clothing","Daily spending ($)","dollar","6.28","6.24","6.16","6.35","6.10","6.39","6.06","6.25","6.49","6.27","6.52","","7.83","8.20","8.22","8.38"
"Hawaii ISL visitors","Fashion and clothing","Daily spending ($)","dollar","","5.22","5.59","5.46","5.58","5.40","4.86","5.63","5.64","5.72","5.32","","4.61","5.17","5.82","6.48"
"Visitors from US West","Fashion and clothing","% of total spending","percent","4.7","4.5","4.3","4.2","3.9","4.0","3.7","3.7","3.7","3.6","3.7","","4.0","3.7","3.6","3.6"
"Hawaii ISL visitors","Fashion and clothing","% of total spending","percent","","3.6","3.7","3.4","3.3","3.1","3.0","3.1","3.1","3.1","3.0","","2.8","2.6","2.7","2.7"
"Visitors from US West","Jewelry and watches","Daily spending ($)","dollar","3.21","3.20","3.09","2.93","2.77","2.66","2.95","2.63","2.70","2.73","2.52","","2.60","2.73","2.79","3.30"
"Hawaii ISL visitors","Jewelry and watches","Daily spending ($)","dollar","","2.79","2.98","3.03","2.64","2.56","1.80","2.15","2.05","2.01","2.00","","1.35","1.64","1.93","2.16"
"Visitors from US West","Jewelry and watches","% of total spending","percent","2.4","2.3","2.1","1.9","1.8","1.7","1.8","1.6","1.6","1.6","1.4","","1.3","1.2","1.2","1.4"
"Hawaii ISL visitors","Jewelry and watches","% of total spending","percent","","1.9","2.0","1.9","1.5","1.5","1.1","1.2","1.1","1.1","1.1","","0.8","0.8","0.9","0.9"
"Visitors from US West","Cosmetics, perfume","Daily spending ($)","dollar","0.27","0.25","0.26","0.22","0.26","0.37","0.37","0.34","0.42","0.40","0.37","","0.28","0.49","0.53","0.40"
"Hawaii ISL visitors","Cosmetics, perfume","Daily spending ($)","dollar","","0.20","0.21","0.17","0.25","0.20","0.16","0.26","0.45","0.29","0.33","","0.10","0.21","0.26","0.22"
