"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Visitors from New Zealand","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from New Zealand","Total Food and beverage","Daily spending ($)","dollar","","23.81","36.15","40.41","41.41","45.10","46.73","48.03","47.84","45.73","49.91","","43.25","57.20","60.42","62.33"
"Visitors from New Zealand","Total Food and beverage","% of total spending","percent","","15.4","21.5","21.0","19.9","20.5","20.6","18.3","19.2","19.9","20.6","","20.0","22.7","21.5","21.8"
"Visitors from New Zealand","Restaurant food","Daily spending ($)","dollar","","15.94","23.92","27.22","29.19","31.72","33.96","32.91","34.50","32.91","36.51","","31.34","40.68","40.67","40.19"
"Visitors from New Zealand","Restaurant food","% of total spending","percent","","10.3","14.2","14.2","14.0","14.4","14.9","12.5","13.9","14.4","15.1","","14.5","16.1","14.5","14.1"
"Visitors from New Zealand","Dinner shows and cruises","Daily spending ($)","dollar","","1.95","2.53","3.86","3.91","4.14","3.43","4.46","4.13","2.70","2.89","","2.93","3.48","5.31","5.62"
"Visitors from New Zealand","Dinner shows and cruises","% of total spending","percent","","1.3","1.5","2.0","1.9","1.9","1.5","1.7","1.7","1.2","1.2","","1.4","1.4","1.9","2.0"
"Visitors from New Zealand","Groceries and snacks","Daily spending ($)","dollar","","5.91","9.70","9.32","8.30","9.25","9.34","10.65","9.22","10.12","10.19","","8.98","13.05","14.44","16.52"
"Visitors from New Zealand","Groceries and snacks","% of total spending","percent","","3.8","5.8","4.8","4.0","4.2","4.1","4.1","3.7","4.4","4.2","","4.1","5.2","5.1","5.8"
"Visitors from New Zealand","Total Entertainment & Recreation","Daily spending ($)","dollar","","10.88","12.28","17.58","16.58","18.71","19.26","22.68","21.89","22.46","20.90","","19.77","20.65","26.06","23.89"
"Visitors from New Zealand","Total Entertainment & Recreation","% of total spending","percent","","7.1","7.3","9.1","8.0","8.5","8.5","8.6","8.8","9.8","8.6","","9.1","8.2","9.3","8.4"
"Visitors from New Zealand","Attractions/entertainment","Daily spending ($)","dollar","","","","","","8.40","6.95","9.67","8.00","10.91","11.34","","8.89","9.09","11.52","9.23"
"Visitors from New Zealand","Attractions/entertainment","% of total spending","percent","","","","","","3.8","3.1","3.7","3.2","4.8","4.7","","4.1","3.6","4.1","3.2"
"Visitors from New Zealand","Recreation","Daily spending ($)","dollar","","","","","","3.35","5.10","4.83","4.96","2.97","4.21","","3.69","5.64","6.52","6.95"
"Visitors from New Zealand","Recreation","% of total spending","percent","","","","","","1.5","2.2","1.8","2.0","1.3","1.7","","1.7","2.2","2.3","2.4"
"Visitors from New Zealand","Other activities & tours","Daily spending ($)","dollar","","","","","","6.96","7.21","8.18","8.92","8.58","6.59","","7.20","5.91","8.03","7.71"
"Visitors from New Zealand","Other activities & tours","% of total spending","percent","","","","","","3.2","3.2","3.1","3.6","3.7","2.7","","3.3","2.3","2.9","2.7"
"Visitors from New Zealand","Total Transportation","Daily spending ($)","dollar","","9.13","12.64","13.56","14.72","14.96","15.25","16.57","16.45","16.75","15.50","","14.61","17.29","18.11","18.16"
"Visitors from New Zealand","Total Transportation","% of total spending","percent","","5.9","7.5","7.1","7.1","6.8","6.7","6.3","6.6","7.3","6.4","","6.7","6.9","6.5","6.4"
"Visitors from New Zealand","Interisland airfare","Daily spending ($)","dollar","","2.46","3.69","3.09","4.43","4.04","4.06","4.61","3.94","3.77","2.65","","3.12","1.94","1.93","4.20"
"Visitors from New Zealand","Interisland airfare","% of total spending","percent","","1.6","2.2","1.6","2.1","1.8","1.8","1.8","1.6","1.6","1.1","","1.4","0.8","0.7","1.5"
"Visitors from New Zealand","Ground transportation","Daily spending ($)","dollar","","2.40","2.69","2.91","3.27","3.47","4.21","3.90","3.64","4.00","3.79","","3.45","4.70","5.61","5.98"
"Visitors from New Zealand","Ground transportation","% of total spending","percent","","1.6","1.6","1.5","1.6","1.6","1.9","1.5","1.5","1.7","1.6","","1.6","1.9","2.0","2.1"
"Visitors from New Zealand","Rental vehicles","Daily spending ($)","dollar","","3.78","5.20","6.26","6.37","6.53","6.31","7.29","8.05","8.32","8.14","","7.34","9.68","9.55","6.94"
"Visitors from New Zealand","Rental vehicles","% of total spending","percent","","2.5","3.1","3.3","3.1","3.0","2.8","2.8","3.2","3.6","3.4","","3.4","3.8","3.4","2.4"
"Visitors from New Zealand","Gasoline, parking, etc.","Daily spending ($)","dollar","","0.48","1.06","1.30","0.65","0.93","0.66","0.76","0.82","0.66","0.92","","0.71","0.97","1.02","1.04"
"Visitors from New Zealand","Gasoline, parking, etc.","% of total spending","percent","","0.3","0.6","0.7","0.3","0.4","0.3","0.3","0.3","0.3","0.4","","0.3","0.4","0.4","0.4"
"Visitors from New Zealand","Total Shopping","Daily spending ($)","dollar","","33.39","43.89","48.76","50.81","55.58","55.06","57.01","55.75","51.92","55.04","","49.22","54.18","48.99","47.79"
"Visitors from New Zealand","Total Shopping","% of total spending","percent","","21.7","26.1","25.4","24.4","25.2","24.2","21.7","22.4","22.6","22.8","","22.7","21.5","17.5","16.7"
"Visitors from New Zealand","Fashion and clothing","Daily spending ($)","dollar","","21.08","28.89","31.12","32.57","39.21","39.79","39.49","41.12","36.41","39.58","","35.36","39.75","35.70","31.83"
"Visitors from New Zealand","Fashion and clothing","% of total spending","percent","","13.7","17.2","16.2","15.6","17.8","17.5","15.0","16.5","15.9","16.4","","16.3","15.8","12.7","11.1"
"Visitors from New Zealand","Jewelry and watches","Daily spending ($)","dollar","","3.21","4.82","6.01","6.01","4.60","3.09","3.82","3.03","4.44","2.51","","3.05","2.65","2.43","2.88"
"Visitors from New Zealand","Jewelry and watches","% of total spending","percent","","2.1","2.9","3.1","2.9","2.1","1.4","1.5","1.2","1.9","1.0","","1.4","1.1","0.9","1.0"
"Visitors from New Zealand","Cosmetics, perfume","Daily spending ($)","dollar","","2.54","2.69","3.17","3.80","4.04","4.79","5.23","4.03","3.60","3.34","","3.32","2.96","2.24","3.61"
"Visitors from New Zealand","Cosmetics, perfume","% of total spending","percent","","1.6","1.6","1.6","1.8","1.8","2.1","2.0","1.6","1.6","1.4","","1.5","1.2","0.8","1.3"
"Visitors from New Zealand","Leather goods","Daily spending ($)","dollar","","2.24","2.75","2.13","3.50","2.52","3.11","3.57","3.02","3.27","3.85","","3.05","3.20","2.46","3.19"
"Visitors from New Zealand","Leather goods","% of total spending","percent","","1.4","1.6","1.1","1.7","1.1","1.4","1.4","1.2","1.4","1.6","","1.4","1.3","0.9","1.1"
"Visitors from New Zealand","Hawaii food products","Daily spending ($)","dollar","","1.26","1.00","1.46","1.57","1.90","1.75","1.64","1.94","1.83","2.55","","1.93","2.10","2.33","2.77"
"Visitors from New Zealand","Hawaii food products","% of total spending","percent","","0.8","0.6","0.8","0.8","0.9","0.8","0.6","0.8","0.8","1.1","","0.9","0.8","0.8","1.0"
"Visitors from New Zealand","Souvenirs","Daily spending ($)","dollar","","3.07","3.73","4.88","3.35","3.31","2.53","3.26","2.60","2.37","3.22","","2.50","3.52","3.84","3.52"
"Visitors from New Zealand","Souvenirs","% of total spending","percent","","2.0","2.2","2.5","1.6","1.5","1.1","1.2","1.0","1.0","1.3","","1.2","1.4","1.4","1.2"
"Visitors from New Zealand","Lodging","Daily spending ($)","dollar","","51.67","56.84","68.18","77.82","79.84","86.32","107.51","96.39","83.49","88.04","","80.05","96.43","117.09","122.98"
"Visitors from New Zealand","Lodging","% of total spending","percent","","33.5","33.8","35.5","37.3","36.2","38.0","40.9","38.7","36.4","36.4","","36.9","38.3","41.7","43.0"
"Visitors from New Zealand","All other expenses","Daily spending ($)","dollar","","25.30","6.12","3.83","7.05","6.12","4.70","11.04","10.63","8.95","12.37","","9.77","6.16","9.93","10.71"
"Visitors from New Zealand","All other expenses","% of total spending","percent","","16.4","3.6","2.0","3.4","2.8","2.1","4.2","4.3","3.9","5.1","","4.5","2.4","3.5","3.7"
"Visitors from China","Grand Total","Daily spending ($)","dollar","","350.29","396.00","396.00","393.95","396.79","392.03","384.68","337.56","349.12","329.00","","317.78","341.32","352.96","353.48"
"Visitors from China","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from China","Total Food and beverage","Daily spending ($)","dollar","","26.37","55.28","55.28","53.12","54.13","55.59","62.89","53.92","53.80","53.71","","49.88","52.83","64.50","68.28"
"Visitors from China","Total Food and beverage","% of total spending","percent","","7.5","14.0","14.0","13.5","13.6","14.2","16.3","16.0","15.4","16.3","","15.7","15.5","18.3","19.3"
"Visitors from China","Restaurant food","Daily spending ($)","dollar","","16.58","40.73","40.73","39.22","39.78","42.33","52.78","43.37","43.85","42.82","","39.88","42.92","45.23","51.08"
"Visitors from China","Restaurant food","% of total spending","percent","","4.7","10.3","10.3","10.0","10.0","10.8","13.7","12.8","12.6","13.0","","12.5","12.6","12.8","14.4"
"Visitors from China","Dinner shows and cruises","Daily spending ($)","dollar","","3.95","7.06","7.06","6.96","6.37","5.51","4.27","3.91","3.98","3.75","","3.67","3.34","1.97","8.37"
"Visitors from China","Dinner shows and cruises","% of total spending","percent","","1.1","1.8","1.8","1.8","1.6","1.4","1.1","1.2","1.1","1.1","","1.2","1.0","0.6","2.4"
"Visitors from China","Groceries and snacks","Daily spending ($)","dollar","","5.84","7.50","7.50","6.94","7.97","7.75","5.84","6.64","5.97","7.14","","6.33","6.57","2.89","8.83"
"Visitors from China","Groceries and snacks","% of total spending","percent","","1.7","1.9","1.9","1.8","2.0","2.0","1.5","2.0","1.7","2.2","","2.0","1.9","0.8","2.5"
"Visitors from China","Total Entertainment & Recreation","Daily spending ($)","dollar","","33.48","31.09","31.09","29.73","29.53","35.04","42.13","34.33","35.66","35.55","","32.88","35.89","41.01","35.21"
"Visitors from China","Total Entertainment & Recreation","% of total spending","percent","","9.6","7.9","7.9","7.5","7.4","8.9","11.0","10.2","10.2","10.8","","10.3","10.5","11.6","10.0"
"Visitors from China","Attractions/entertainment","Daily spending ($)","dollar","","","","","","24.10","26.98","35.36","25.53","27.24","28.87","","24.49","22.61","9.89","24.75"
"Visitors from China","Attractions/entertainment","% of total spending","percent","","","","","","6.1","6.9","9.2","7.6","7.8","8.8","","7.7","6.6","2.8","7.0"
"Visitors from China","Recreation","Daily spending ($)","dollar","","","","","","2.88","4.12","2.87","4.49","3.58","4.59","","4.01","10.35","2.37","6.90"
"Visitors from China","Recreation","% of total spending","percent","","","","","","0.7","1.1","0.7","1.3","1.0","1.4","","1.3","3.0","0.7","2.0"
"Visitors from China","Other activities & tours","Daily spending ($)","dollar","","","","","","2.54","3.94","3.90","4.30","4.84","4.95","","4.38","2.93","8.56","3.57"
"Visitors from China","Other activities & tours","% of total spending","percent","","","","","","0.6","1.0","1.0","1.3","1.4","1.5","","1.4","0.9","2.4","1.0"
"Visitors from China","Total Transportation","Daily spending ($)","dollar","","11.86","25.97","25.97","25.42","29.69","33.00","44.73","37.53","37.48","36.75","","34.66","37.53","49.36","41.13"
"Visitors from China","Total Transportation","% of total spending","percent","","3.4","6.6","6.6","6.5","7.5","8.4","11.6","11.1","10.7","11.2","","10.9","11.0","14.0","11.6"
"Visitors from China","Interisland airfare","Daily spending ($)","dollar","","4.53","8.86","8.86","8.34","10.96","12.84","13.88","14.22","13.84","13.36","","12.72","13.72","8.19","11.01"
"Visitors from China","Interisland airfare","% of total spending","percent","","1.3","2.2","2.2","2.1","2.8","3.3","3.6","4.2","4.0","4.1","","4.0","4.0","2.3","3.1"
"Visitors from China","Ground transportation","Daily spending ($)","dollar","","3.37","4.63","4.63","5.80","5.26","6.36","14.83","5.44","4.76","4.33","","4.63","4.89","3.24","5.47"
"Visitors from China","Ground transportation","% of total spending","percent","","1.0","1.2","1.2","1.5","1.3","1.6","3.9","1.6","1.4","1.3","","1.5","1.4","0.9","1.5"
"Visitors from China","Rental vehicles","Daily spending ($)","dollar","","3.37","11.01","11.01","9.80","11.89","12.45","14.72","16.45","17.03","17.45","","15.76","17.24","24.73","22.44"
"Visitors from China","Rental vehicles","% of total spending","percent","","1.0","2.8","2.8","2.5","3.0","3.2","3.8","4.9","4.9","5.3","","5.0","5.1","7.0","6.3"
"Visitors from China","Gasoline, parking, etc.","Daily spending ($)","dollar","","0.59","1.47","1.47","1.47","1.57","1.34","1.29","1.24","1.65","2.11","","1.55","1.68","4.08","2.22"
"Visitors from China","Gasoline, parking, etc.","% of total spending","percent","","0.2","0.4","0.4","0.4","0.4","0.3","0.3","0.4","0.5","0.6","","0.5","0.5","1.2","0.6"
"Visitors from China","Total Shopping","Daily spending ($)","dollar","","101.26","193.60","193.60","190.97","182.74","159.96","115.81","107.73","115.49","99.39","","102.99","109.77","63.14","76.06"
"Visitors from China","Total Shopping","% of total spending","percent","","28.9","48.9","48.9","48.5","46.1","40.8","30.1","31.9","33.1","30.2","","32.4","32.2","17.9","21.5"
"Visitors from China","Fashion and clothing","Daily spending ($)","dollar","","23.80","46.44","46.44","58.77","63.28","54.60","46.02","39.63","42.57","36.65","","37.30","39.94","26.31","37.83"
"Visitors from China","Fashion and clothing","% of total spending","percent","","6.8","11.7","11.7","14.9","15.9","13.9","12.0","11.7","12.2","11.1","","11.7","11.7","7.5","10.7"
"Visitors from China","Jewelry and watches","Daily spending ($)","dollar","","25.76","47.80","47.80","42.43","37.85","31.63","20.34","22.06","25.46","14.02","","19.05","20.30","0.54","3.81"
"Visitors from China","Jewelry and watches","% of total spending","percent","","7.4","12.1","12.1","10.8","9.5","8.1","5.3","6.5","7.3","4.3","","6.0","5.9","0.2","1.1"
"Visitors from China","Cosmetics, perfume","Daily spending ($)","dollar","","14.04","27.21","27.21","25.99","21.42","22.38","12.65","14.04","14.70","13.75","","13.60","14.46","2.32","3.95"
"Visitors from China","Cosmetics, perfume","% of total spending","percent","","4.0","6.9","6.9","6.6","5.4","5.7","3.3","4.2","4.2","4.2","","4.3","4.2","0.7","1.1"
"Visitors from China","Leather goods","Daily spending ($)","dollar","","28.42","53.92","53.92","46.86","46.10","37.98","24.78","21.32","24.88","26.62","","23.08","24.59","8.30","10.79"
"Visitors from China","Leather goods","% of total spending","percent","","8.1","13.6","13.6","11.9","11.6","9.7","6.4","6.3","7.1","8.1","","7.3","7.2","2.4","3.1"
"Visitors from China","Hawaii food products","Daily spending ($)","dollar","","6.12","12.05","12.05","11.89","9.70","8.04","7.16","7.34","6.64","5.85","","6.19","6.27","7.98","6.91"
"Visitors from China","Hawaii food products","% of total spending","percent","","1.7","3.0","3.0","3.0","2.4","2.1","1.9","2.2","1.9","1.8","","1.9","1.8","2.3","2.0"
"Visitors from China","Souvenirs","Daily spending ($)","dollar","","3.12","6.18","6.18","5.03","4.39","5.33","4.87","3.34","4.88","3.72","","3.77","4.22","7.00","12.76"
"Visitors from China","Souvenirs","% of total spending","percent","","0.9","1.6","1.6","1.3","1.1","1.4","1.3","1.0","1.4","1.1","","1.2","1.2","2.0","3.6"
"Visitors from China","Lodging","Daily spending ($)","dollar","","65.47","80.72","80.72","77.03","85.36","86.33","108.48","96.09","96.97","96.00","","89.44","96.85","131.83","127.96"
"Visitors from China","Lodging","% of total spending","percent","","18.7","20.4","20.4","19.6","21.5","22.0","28.2","28.5","27.8","29.2","","28.1","28.4","37.3","36.2"
"Visitors from China","All other expenses","Daily spending ($)","dollar","","111.86","9.34","9.34","17.69","15.35","22.11","10.65","7.97","9.72","7.60","","7.92","8.45","3.12","4.85"
"Visitors from China","All other expenses","% of total spending","percent","","31.9","2.4","2.4","4.5","3.9","5.6","2.8","2.4","2.8","2.3","","2.5","2.5","0.9","1.4"
"Visitors from Korea","Grand Total","Daily spending ($)","dollar","","222.91","261.80","261.80","268.19","270.36","293.92","316.42","278.52","292.31","285.22","","278.00","293.14","315.83","318.55"
"Visitors from Korea","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from Korea","Total Food and beverage","Daily spending ($)","dollar","","29.80","58.56","58.56","59.99","60.16","66.52","74.55","63.25","63.74","63.77","","58.60","72.87","74.24","77.01"
"Visitors from Korea","Total Food and beverage","% of total spending","percent","","13.4","22.4","22.4","22.4","22.3","22.6","23.6","22.7","21.8","22.4","","21.1","24.9","23.5","24.2"
"Visitors from Korea","Restaurant food","Daily spending ($)","dollar","","20.25","47.01","47.01","47.96","47.90","52.95","62.24","50.17","50.35","50.58","","42.10","56.38","57.78","58.76"
"Visitors from Korea","Restaurant food","% of total spending","percent","","9.1","18.0","18.0","17.9","17.7","18.0","19.7","18.0","17.2","17.7","","15.1","19.2","18.3","18.4"
"Visitors from Korea","Dinner shows and cruises","Daily spending ($)","dollar","","5.38","5.37","5.37","5.68","6.15","5.78","4.76","4.53","3.92","3.87","","1.40","2.95","3.52","3.36"
"Visitors from Korea","Dinner shows and cruises","% of total spending","percent","","2.4","2.1","2.1","2.1","2.3","2.0","1.5","1.6","1.3","1.4","","0.5","1.0","1.1","1.1"
"Visitors from Korea","Groceries and snacks","Daily spending ($)","dollar","","4.17","6.18","6.18","6.35","6.11","7.79","7.55","8.55","9.47","9.32","","15.20","13.54","12.93","14.89"
"Visitors from Korea","Groceries and snacks","% of total spending","percent","","1.9","2.4","2.4","2.4","2.3","2.7","2.4","3.1","3.2","3.3","","5.5","4.6","4.1","4.7"
"Visitors from Korea","Total Entertainment & Recreation","Daily spending ($)","dollar","","22.86","25.01","25.01","26.20","26.48","26.28","28.06","27.58","27.65","27.40","","26.70","28.64","34.22","33.97"
"Visitors from Korea","Total Entertainment & Recreation","% of total spending","percent","","10.3","9.6","9.6","9.8","9.8","8.9","8.9","9.9","9.5","9.6","","9.6","9.8","10.8","10.7"
"Visitors from Korea","Attractions/entertainment","Daily spending ($)","dollar","","","","","","16.16","13.14","13.96","13.07","13.87","13.81","","8.10","10.59","14.51","15.27"
"Visitors from Korea","Attractions/entertainment","% of total spending","percent","","","","","","6.0","4.5","4.4","4.7","4.7","4.8","","2.9","3.6","4.6","4.8"
"Visitors from Korea","Recreation","Daily spending ($)","dollar","","","","","","7.20","9.41","10.00","9.99","9.76","9.26","","14.60","13.06","14.84","12.97"
"Visitors from Korea","Recreation","% of total spending","percent","","","","","","2.7","3.2","3.2","3.6","3.3","3.2","","5.3","4.5","4.7","4.1"
"Visitors from Korea","Other activities & tours","Daily spending ($)","dollar","","","","","","3.12","3.73","4.10","4.52","4.02","4.34","","4.70","4.99","4.88","5.73"
"Visitors from Korea","Other activities & tours","% of total spending","percent","","","","","","1.2","1.3","1.3","1.6","1.4","1.5","","1.7","1.7","1.5","1.8"
"Visitors from Korea","Total Transportation","Daily spending ($)","dollar","","13.90","20.82","20.82","23.28","22.72","25.66","28.16","26.11","25.44","24.43","","25.20","27.04","25.92","26.42"
"Visitors from Korea","Total Transportation","% of total spending","percent","","6.2","8.0","8.0","8.7","8.4","8.7","8.9","9.4","8.7","8.6","","9.1","9.2","8.2","8.3"
"Visitors from Korea","Interisland airfare","Daily spending ($)","dollar","","5.84","8.41","8.41","9.36","9.24","7.11","6.25","5.69","4.99","5.20","","2.00","2.84","3.56","4.73"
"Visitors from Korea","Interisland airfare","% of total spending","percent","","2.6","3.2","3.2","3.5","3.4","2.4","2.0","2.0","1.7","1.8","","0.7","1.0","1.1","1.5"
"Visitors from Korea","Ground transportation","Daily spending ($)","dollar","","2.20","3.20","3.20","3.04","2.39","2.52","2.35","2.39","2.47","2.53","","4.80","3.22","3.37","3.21"
"Visitors from Korea","Ground transportation","% of total spending","percent","","1.0","1.2","1.2","1.1","0.9","0.9","0.7","0.9","0.8","0.9","","1.7","1.1","1.1","1.0"
"Visitors from Korea","Rental vehicles","Daily spending ($)","dollar","","4.84","7.94","7.94","9.41","9.60","14.96","18.42","17.03","16.97","15.74","","16.70","19.49","17.57","16.67"
"Visitors from Korea","Rental vehicles","% of total spending","percent","","2.2","3.0","3.0","3.5","3.6","5.1","5.8","6.1","5.8","5.5","","6.0","6.6","5.6","5.2"
"Visitors from Korea","Gasoline, parking, etc.","Daily spending ($)","dollar","","1.03","1.27","1.27","1.48","1.48","1.07","1.10","0.91","0.87","0.96","","2.50","1.87","1.42","1.82"
"Visitors from Korea","Gasoline, parking, etc.","% of total spending","percent","","0.5","0.5","0.5","0.6","0.5","0.4","0.3","0.3","0.3","0.3","","0.9","0.6","0.5","0.6"
"Visitors from Korea","Total Shopping","Daily spending ($)","dollar","","47.98","76.63","76.63","71.02","71.14","77.25","69.95","71.96","79.07","74.32","","56.10","51.77","51.92","51.17"
"Visitors from Korea","Total Shopping","% of total spending","percent","","21.5","29.3","29.3","26.5","26.3","26.3","22.1","25.8","27.1","26.1","","20.2","17.7","16.4","16.1"
"Visitors from Korea","Fashion and clothing","Daily spending ($)","dollar","","15.62","26.71","26.71","25.40","25.40","25.22","24.27","23.16","22.06","21.65","","38.00","21.99","22.44","23.23"
"Visitors from Korea","Fashion and clothing","% of total spending","percent","","7.0","10.2","10.2","9.5","9.4","8.6","7.7","8.3","7.5","7.6","","13.7","7.5","7.1","7.3"
"Visitors from Korea","Jewelry and watches","Daily spending ($)","dollar","","3.39","4.08","4.08","6.06","4.97","3.65","3.69","2.67","3.47","2.34","","1.10","0.95","1.89","1.69"
"Visitors from Korea","Jewelry and watches","% of total spending","percent","","1.5","1.6","1.6","2.3","1.8","1.2","1.2","1.0","1.2","0.8","","0.4","0.3","0.6","0.5"
"Visitors from Korea","Cosmetics, perfume","Daily spending ($)","dollar","","3.82","7.51","7.51","4.68","5.83","5.87","4.11","3.98","3.02","3.25","","2.30","1.64","1.07","1.35"
"Visitors from Korea","Cosmetics, perfume","% of total spending","percent","","1.7","2.9","2.9","1.7","2.2","2.0","1.3","1.4","1.0","1.1","","0.8","0.6","0.3","0.4"
"Visitors from Korea","Leather goods","Daily spending ($)","dollar","","17.39","26.45","26.45","24.30","23.79","30.40","25.62","27.96","38.98","32.89","","31.30","13.65","12.75","9.30"
"Visitors from Korea","Leather goods","% of total spending","percent","","7.8","10.1","10.1","9.1","8.8","10.3","8.1","10.0","13.3","11.5","","11.3","4.7","4.0","2.9"
"Visitors from Korea","Hawaii food products","Daily spending ($)","dollar","","4.61","7.49","7.49","7.01","7.00","6.62","7.23","7.77","6.74","7.30","","6.40","5.32","4.94","4.95"
"Visitors from Korea","Hawaii food products","% of total spending","percent","","2.1","2.9","2.9","2.6","2.6","2.3","2.3","2.8","2.3","2.6","","2.3","1.8","1.6","1.6"
"Visitors from Korea","Souvenirs","Daily spending ($)","dollar","","3.15","4.39","4.39","3.55","4.14","5.49","5.02","6.42","5.69","6.90","","7.10","8.22","8.83","10.66"
"Visitors from Korea","Souvenirs","% of total spending","percent","","1.4","1.7","1.7","1.3","1.5","1.9","1.6","2.3","1.9","2.4","","2.6","2.8","2.8","3.3"
"Visitors from Korea","Lodging","Daily spending ($)","dollar","","61.86","74.42","74.42","84.79","86.82","93.53","112.93","86.97","93.14","91.49","","107.50","110.06","126.75","128.02"
"Visitors from Korea","Lodging","% of total spending","percent","","27.7","28.4","28.4","31.6","32.1","31.8","35.7","31.2","31.9","32.1","","38.7","37.5","40.1","40.2"
"Visitors from Korea","All other expenses","Daily spending ($)","dollar","","46.51","6.36","6.36","2.92","3.04","4.68","2.78","2.65","3.27","3.81","","4.00","2.76","2.77","1.96"
"Visitors from Korea","All other expenses","% of total spending","percent","","20.9","2.4","2.4","1.1","1.1","1.6","0.9","1.0","1.1","1.3","","1.4","0.9","0.9","0.6"
"Visitors from Taiwan","Grand Total","Daily spending ($)","dollar","","","","","237.90","204.29","221.81","264.88","222.14","240.84","250.97","","227.92","246.90","265.39",""
"Visitors from Taiwan","Grand Total","% of total spending","percent","","","","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0",""
"Visitors from Taiwan","Total Food and beverage","Daily spending ($)","dollar","","","","","46.76","37.41","42.83","53.74","35.32","50.57","52.92","","44.38","50.54","52.31",""
"Visitors from Taiwan","Total Food and beverage","% of total spending","percent","","","","","19.7","18.3","19.3","20.3","15.9","21.0","21.1","","19.5","20.5","19.7",""
"Visitors from Taiwan","Restaurant food","Daily spending ($)","dollar","","","","","34.76","30.50","33.55","46.17","24.52","39.65","41.24","","34.26","38.13","20.02",""
"Visitors from Taiwan","Restaurant food","% of total spending","percent","","","","","14.6","14.9","15.1","17.4","11.0","16.5","16.4","","15.0","15.4","7.5",""
"Visitors from Taiwan","Dinner shows and cruises","Daily spending ($)","dollar","","","","","5.29","3.57","2.25","4.78","2.90","2.92","4.05","","3.36","4.45","10.26",""
"Visitors from Taiwan","Dinner shows and cruises","% of total spending","percent","","","","","2.2","1.7","1.0","1.8","1.3","1.2","1.6","","1.5","1.8","3.9",""
"Visitors from Taiwan","Groceries and snacks","Daily spending ($)","dollar","","","","","6.72","3.34","7.03","2.79","5.33","8.00","7.63","","6.75","7.96","9.86",""
"Visitors from Taiwan","Groceries and snacks","% of total spending","percent","","","","","2.8","1.6","3.2","1.1","2.4","3.3","3.0","","3.0","3.2","3.7",""
"Visitors from Taiwan","Total Entertainment & Recreation","Daily spending ($)","dollar","","","","","20.43","16.05","21.70","27.07","20.49","22.67","26.65","","21.82","23.07","23.61",""
"Visitors from Taiwan","Total Entertainment & Recreation","% of total spending","percent","","","","","8.6","7.9","9.8","10.2","9.2","9.4","10.6","","9.6","9.3","8.9",""
"Visitors from Taiwan","Attractions/entertainment","Daily spending ($)","dollar","","","","","","9.36","13.53","23.13","13.41","16.58","17.37","","15.46","13.76","5.44",""
"Visitors from Taiwan","Attractions/entertainment","% of total spending","percent","","","","","","4.6","6.1","8.7","6.0","6.9","6.9","","6.8","5.6","2.1",""
"Visitors from Taiwan","Recreation","Daily spending ($)","dollar","","","","","","2.92","1.71","2.75","2.26","2.46","5.16","","3.17","7.56","6.34",""
"Visitors from Taiwan","Recreation","% of total spending","percent","","","","","","1.4","0.8","1.0","1.0","1.0","2.1","","1.4","3.1","2.4",""
"Visitors from Taiwan","Other activities & tours","Daily spending ($)","dollar","","","","","","3.77","2.98","1.18","2.45","3.63","4.11","","3.19","1.75","8.20",""
"Visitors from Taiwan","Other activities & tours","% of total spending","percent","","","","","","1.8","1.3","0.4","1.1","1.5","1.6","","1.4","0.7","3.1",""
"Visitors from Taiwan","Total Transportation","Daily spending ($)","dollar","","","","","25.35","20.96","23.97","25.34","24.13","26.87","29.22","","25.20","27.72","28.66",""
"Visitors from Taiwan","Total Transportation","% of total spending","percent","","","","","10.7","10.3","10.8","9.6","10.9","11.2","11.6","","11.1","11.2","10.8",""
"Visitors from Taiwan","Interisland airfare","Daily spending ($)","dollar","","","","","10.66","6.66","10.97","5.59","8.98","7.67","7.75","","7.87","7.72","3.32",""
"Visitors from Taiwan","Interisland airfare","% of total spending","percent","","","","","4.5","3.3","4.9","2.1","4.0","3.2","3.1","","3.5","3.1","1.3",""
"Visitors from Taiwan","Ground transportation","Daily spending ($)","dollar","","","","","4.14","3.67","2.62","2.01","2.48","4.48","3.34","","3.31","3.79","3.49",""
"Visitors from Taiwan","Ground transportation","% of total spending","percent","","","","","1.7","1.8","1.2","0.8","1.1","1.9","1.3","","1.5","1.5","1.3",""
"Visitors from Taiwan","Rental vehicles","Daily spending ($)","dollar","","","","","8.34","9.33","9.21","15.03","9.20","13.35","16.48","","12.49","14.94","19.70",""
"Visitors from Taiwan","Rental vehicles","% of total spending","percent","","","","","3.5","4.6","4.2","5.7","4.1","5.5","6.6","","5.5","6.1","7.4",""
